x,y
0,-0.8243256
0.1999905,-0.8203988
0.3999811,-0.81647
0.5999716,-0.812539
0.7999622,-0.8086058
0.9999527,-0.8046705
1.1999433,-0.8007329
1.3999338,-0.7967929
1.5999244,-0.7928507
1.7999149,-0.788906
1.9999055,-0.784959
2.199896,-0.7810096
2.3998866,-0.7770577
2.5998771,-0.7731034
2.7998677,-0.7691466
2.9998582,-0.7651874
3.1998488,-0.7612257
3.3998393,-0.7572616
3.5998299,-0.7532951
3.7998204,-0.7493261
3.999811,-0.7453548
4.1998015,-0.741381
4.3997921,-0.7374049
4.5997826,-0.7334265
4.7997732,-0.7294459
4.9997637,-0.7254629
5.1997543,-0.7214778
5.3997448,-0.7174906
5.5997354,-0.7135012
5.7997259,-0.7095099
5.9997165,-0.7055167
6.199707,-0.7015216
6.3996976,-0.6975249
6.5996881,-0.6935266
6.7996787,-0.6895268
6.9996692,-0.6855257
7.1996598,-0.6815233
7.3996503,-0.6775196
7.5996409,-0.6735145
7.7996314,-0.6695072
7.999622,-0.6654964
8.1996125,-0.6614809
8.3996031,-0.657458
8.5995936,-0.6534251
8.7995842,-0.6493765
8.9995747,-0.6453038
9.1995653,-0.6411975
9.3995558,-0.6370428
9.5995464,-0.6328242
9.7995369,-0.6285255
9.9995275,-0.6241301
10.199518,-0.6196215
10.3995086,-0.6149831
10.5994991,-0.6101985
10.7994897,-0.6052513
10.9994802,-0.6001252
11.1994708,-0.5948037
11.3994613,-0.5892706
11.5994519,-0.5835095
11.7994424,-0.5775042
11.999433,-0.5712381
12.1994235,-0.5646951
12.3994141,-0.5578589
12.5994046,-0.5507131
12.7993952,-0.5432415
12.9993857,-0.5354276
13.1993763,-0.5272555
13.3993668,-0.5187086
13.5993573,-0.5097707
13.7993479,-0.5004257
13.9993384,-0.4906572
14.199329,-0.480449
14.3993195,-0.4697849
14.5993101,-0.4586488
14.7993006,-0.4470243
14.9992912,-0.4348953
15.1992817,-0.4222456
15.3992723,-0.4090591
15.5992628,-0.3953197
15.7992534,-0.3810111
15.9992439,-0.3661173
16.1992345,-0.3506221
16.399225,-0.3345096
16.5992156,-0.3177636
16.7992061,-0.300368
16.9991967,-0.2823069
17.1991872,-0.2635642
17.3991778,-0.244124
17.5991683,-0.2239702
17.7991589,-0.203087
17.9991494,-0.1814585
18.19914,-0.1590686
18.3991305,-0.1359017
18.5991211,-0.1119418
18.7991116,-0.0871731
18.9991022,-0.0615801
19.1990927,-0.0351465
19.3990833,-0.0078572
19.5990738,0.0203038
19.7990644,0.0493521
19.9990549,0.079303
20.1990455,0.1101728
20.399036,0.1419761
20.5990266,0.1747291
20.7990171,0.2084469
20.9990077,0.2431449
21.1989982,0.2788391
21.3989888,0.3155439
21.5989793,0.3532755
21.7989699,0.3920487
21.9989604,0.4318784
22.198951,0.4727809
22.3989415,0.5147699
22.5989321,0.5578617
22.7989226,0.6020707
22.9989132,0.6474115
23.1989037,0.6939003
23.3988943,0.7415503
23.5988848,0.7903776
23.7988754,0.8403963
23.9988659,0.8916206
24.1988565,0.9440665
24.398847,0.9977467
24.5988376,1.0526772
24.7988281,1.1088714
24.9988187,1.1663431
25.1988092,1.2251083
25.3987998,1.2851788
25.5987903,1.3465704
25.7987809,1.409296
25.9987714,1.4733688
26.198762,1.5388045
26.3987525,1.6056141
26.598743,1.6738132
26.7987336,1.7434139
26.9987241,1.8144288
27.1987147,1.8868732
27.3987052,1.9607572
27.5986958,2.036096
27.7986863,2.1129007
27.9986769,2.1911835
28.1986674,2.2709588
28.398658,2.3522358
28.5986485,2.4350292
28.7986391,2.5193491
28.9986296,2.6052068
29.1986202,2.6926159
29.3986107,2.7815845
29.5986013,2.8721265
29.7985918,2.9642508
29.9985824,3.0579677
30.1985729,3.1532899
30.3985635,3.2502241
30.598554,3.3487834
30.7985446,3.4489744
30.9985351,3.5508053
31.1985257,3.6542848
31.3985162,3.7594117
31.5985068,3.8661899
31.7984973,3.9746149
31.9984879,4.0846812
32.1984784,4.1963838
32.398469,4.3097158
32.5984595,4.4246704
32.7984501,4.5412413
32.9984406,4.6594216
33.1984312,4.7792039
33.3984217,4.9005823
33.5984123,5.0235483
33.7984028,5.1480959
33.9983934,5.2742177
34.1983839,5.4019051
34.3983745,5.5311525
34.598365,5.6619499
34.7983556,5.7942912
34.9983461,5.9281683
35.1983367,6.0635714
35.3983272,6.2004949
35.5983178,6.3389273
35.7983083,6.478862
35.9982989,6.62029
36.1982894,6.7632007
36.39828,6.9075871
36.5982705,7.053437
